Generation,evals,avg,std,min,max,best_one,fitness_best_one
10,348,[  5.0125 423.1077],[0.11110243 8.59443781],[  5.    388.962],[  6.    435.361],"[33, 32, 42, 6, 26, 45, 53, 13, 60, 2, 18, 66, 16, 11, 17, 35, 19, 38, 22, 47, 49, 37, 31, 64, 5, 9, 61, 43, 34, 46, 14, 55, 41, 62, 21, 51, 40, 48, 30, 3, 10, 4, 54, 36, 15, 8, 39, 25, 23, 29, 20, 7, 65, 68, 57, 58, 44, 1, 63, 59, 56, 67, 50, 27, 52, 28, 24, 12]","(5.0, 388.96199999999993)"
11,340,[  5.        416.1828825],[0.         7.06761183],[  5.    388.962],[  5.    425.577],"[33, 32, 42, 6, 26, 45, 53, 13, 60, 2, 18, 66, 16, 11, 17, 35, 19, 38, 22, 47, 49, 37, 31, 64, 5, 9, 61, 43, 34, 46, 14, 55, 41, 62, 21, 51, 40, 48, 30, 3, 10, 4, 54, 36, 15, 8, 39, 25, 23, 29, 20, 7, 65, 68, 57, 58, 44, 1, 63, 59, 56, 67, 50, 27, 52, 28, 24, 12]","(5.0, 388.96199999999993)"
12,334,[  5.       410.122715],[0.        7.1091712],[  5.    362.538],[  5.    417.841],"[1, 35, 34, 49, 5, 57, 3, 60, 18, 63, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 27, 46, 62, 51, 26, 53, 19, 36, 6, 55, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 32, 47, 25, 28, 40, 29, 37, 20, 23, 52, 50, 30, 10, 4, 64, 12]","(5.0, 362.53799999999995)"
13,352,[  5.0025    405.2073325],[0.04993746 7.97930083],[  5.    362.132],[  6.    412.578],"[1, 35, 34, 49, 5, 57, 3, 60, 18, 63, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 27, 46, 62, 51, 26, 53, 19, 36, 6, 55, 56, 30, 41, 54, 31, 43, 48, 24, 44, 45, 32, 47, 25, 28, 40, 29, 37, 20, 23, 52, 50, 13, 10, 4, 64, 12]","(5.0, 362.13199999999995)"
14,334,[  5.0025   398.747075],[0.04993746 8.36996972],[  5.    362.132],[  6.    408.448],"[1, 35, 34, 49, 5, 57, 3, 60, 18, 63, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 27, 46, 62, 51, 26, 53, 19, 36, 6, 55, 56, 30, 41, 54, 31, 43, 48, 24, 44, 45, 32, 47, 25, 28, 40, 29, 37, 20, 23, 52, 50, 13, 10, 4, 64, 12]","(5.0, 362.13199999999995)"
15,330,[  5.01     392.296125],[0.09949874 7.35473233],[  5.    362.132],[  6.    403.257],"[1, 35, 34, 49, 5, 57, 3, 60, 18, 63, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 27, 46, 62, 51, 26, 53, 19, 36, 6, 55, 56, 30, 41, 54, 31, 43, 48, 24, 44, 45, 32, 47, 25, 28, 40, 29, 37, 20, 23, 52, 50, 13, 10, 4, 64, 12]","(5.0, 362.13199999999995)"
16,334,[  5.005     387.4057075],[0.07053368 8.46253613],[  5.    352.287],[  6.    393.937],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 32, 46, 62, 51, 26, 53, 19, 36, 6, 55, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 1, 28, 40, 29, 37, 20, 23, 52, 50, 30, 10, 4, 64, 63]","(5.0, 352.287)"
17,342,[  5.01      382.2123575],[0.09949874 9.31510811],[  5.    352.287],[  6.    391.339],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 32, 46, 62, 51, 26, 53, 19, 36, 6, 55, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 1, 28, 40, 29, 37, 20, 23, 52, 50, 30, 10, 4, 64, 63]","(5.0, 352.287)"
18,352,[  5.01      375.5359425],[0.09949874 8.71038278],[  5.    335.524],[  6.    387.336],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 32, 46, 28, 51, 26, 53, 19, 36, 6, 55, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 1, 62, 30, 29, 37, 20, 23, 52, 50, 40, 10, 4, 64, 63]","(5.0, 335.52399999999994)"
19,342,[  5.        368.9830725],[0.         7.37311323],[  5.   333.41],[  5.    378.717],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 55, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 32, 46, 28, 51, 26, 53, 19, 36, 6, 14, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 1, 62, 30, 29, 37, 20, 23, 52, 50, 40, 10, 4, 64, 63]","(5.0, 333.40999999999997)"
