address,activity_days
"JALAN 26,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 28,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 3,TAMAN DELIMA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN 30,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 32,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN 4,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 4/1,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 4/2,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 4/3,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 7,TAMAN DELIMA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
